mode,stage,tau,sharpness,control_max_scale,ip_max_scale,canny_mse_mean,canny_mse_std,canny_mse_median,clip_similarity_mean,clip_similarity_std,clip_similarity_median,canny_score,clip_score,balanced_score
smooth_sharpness__tau_0p25__sharp_16p0,sharpness,0.25,16.0,1.0,0.8,0.1667807388305664,0.07099696882882289,0.15845489501953125,0.7976128751039505,0.08198653842327565,0.8093879818916321,0.2686483744610503,0.91285406159812,0.5907512180295851
smooth_sharpness__tau_0p25__sharp_12p0,sharpness,0.25,12.0,1.0,0.8,0.16860931396484374,0.07350276411882133,0.1673259735107422,0.7899772053956986,0.07751805037799439,0.8003828525543213,0.19360242476618147,0.8749101841237851,0.5342563044449833
smooth_ctrlmax__tau_0p25__sharp_16p0__ip_1p0__ctrl_1p2,control_max_scale,0.25,16.0,1.2,1.0,0.17249679565429688,0.07285327233820468,0.1674327850341797,0.8112575668096542,0.06734495596586827,0.8165424168109894,0.034057569409871424,0.9806585280088108,0.5073580487093411
smooth_ipmax__tau_0p25__sharp_16p0__ip_1p0,ip_max_scale,0.25,16.0,1.0,1.0,0.17233280181884766,0.07369789935340888,0.16302108764648438,0.8082004320621491,0.08157857961565693,0.8230488300323486,0.0407879863857393,0.9654667307318142,0.5031273585587768
smooth_ctrlmax__tau_0p25__sharp_16p0__ip_1p0__ctrl_0p8,control_max_scale,0.25,16.0,0.8,1.0,0.1732501220703125,0.07123727212874509,0.16261863708496094,0.8151497650146484,0.06699466122874906,0.8186506628990173,0.003140548139937201,1.0,0.5015702740699686
smooth_tau__tau_0p75,tau,0.75,12.0,1.0,0.8,0.1489605712890625,0.07795754854738211,0.14228248596191406,0.6139138814806938,0.09751928669134628,0.6260872483253479,1.0,0.0,0.5
smooth_ctrlmax__tau_0p25__sharp_16p0__ip_1p0__ctrl_1p0,control_max_scale,0.25,16.0,1.0,1.0,0.17301151275634766,0.07036845681885334,0.17298126220703125,0.8050497579574585,0.0662498512520633,0.8113482296466827,0.01293323438884567,0.9498101090132578,0.4813716717010517
smooth_ipmax__tau_0p25__sharp_16p0__ip_0p8,ip_max_scale,0.25,16.0,1.0,0.8,0.1713702392578125,0.07332300510327931,0.16937637329101562,0.7883115068078042,0.08253020707800662,0.8011113405227661,0.08029219935435603,0.8666328403486954,0.4734625198515257
smooth_sharpness__tau_0p25__sharp_8p0,sharpness,0.25,8.0,1.0,0.8,0.17142688751220703,0.07045290041505267,0.16713905334472656,0.7863182920217514,0.07250565989329844,0.7932166457176208,0.0779673170074932,0.8567279727323965,0.46734764486994484
smooth_tau__tau_0p25,tau,0.25,12.0,1.0,0.8,0.17159633636474608,0.07195040593290054,0.1721324920654297,0.7828982669115067,0.07836694446082187,0.7775448858737946,0.07101302247229772,0.8397328670376029,0.45537294475495027
smooth_tau__tau_0p5,tau,0.5,12.0,1.0,0.8,0.1603878402709961,0.07878626839280688,0.15149497985839844,0.6873588210344315,0.09871247412774084,0.6878352165222168,0.5310172182195633,0.36496939941302897,0.4479933088162961
smooth_tau__tau_0p6,tau,0.6,12.0,1.0,0.8,0.15568416595458984,0.07858180194488638,0.14577674865722656,0.6389313617348671,0.0970256016734801,0.6523098349571228,0.7240591662987566,0.12431918112632266,0.4241891737125396
smooth_ipmax__tau_0p25__sharp_16p0__ip_0p6,ip_max_scale,0.25,16.0,1.0,0.6,0.17332664489746094,0.06767876495185082,0.1731243133544922,0.7712902104854584,0.08169381273826522,0.77745321393013,0.0,0.782049037383586,0.391024518691793
smooth_tau__tau_0p4,tau,0.4,12.0,1.0,0.8,0.16794830322265625,0.07007574476029252,0.1538867950439453,0.7262090757489205,0.09494276758448832,0.7265027463436127,0.22073074887826413,0.5580276852029675,0.38937921704061584
